PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PRUNEDUR,PRUNTYPE
15340,-1,-1,21,1,2,40,1,1,31080,7,6
15415,38,20,27,6,1,40,1,1,31080,104,3
15423,43,8,45,1,2,43,2,1,41860,20,2
15425,46,16,18,6,1,39,2,2,41860,8,5
15466,38,17,43,1,2,42,1,1,31080,61,3
15493,40,15,23,6,2,40,1,2,41940,8,5
15570,24,5,52,4,2,43,2,1,31080,2,2
15572,22,16,39,6,1,31,1,1,31080,52,2
15597,4,19,64,1,1,42,1,1,31080,47,2
15598,42,17,57,1,2,42,1,1,31080,119,2
22401,22,16,27,1,1,44,1,1,19740,4,5
22591,47,16,55,1,1,40,1,1,19740,104,2
22592,40,8,51,1,2,44,1,1,19740,34,2
22746,27,20,32,1,2,37,1,1,19740,35,2
22784,-1,-1,16,6,2,36,1,2,19740,8,6
22785,-1,-1,17,6,2,37,1,2,19740,8,6
22841,22,16,31,4,2,39,1,1,19740,3,4
22903,34,1,22,6,1,43,1,1,19740,3,4
22912,20,21,57,1,2,35,1,1,19740,2,2
22913,20,21,58,1,1,39,1,1,19740,2,2
24273,23,22,31,6,2,40,2,2,25540,6,1
24299,38,12,24,6,1,39,2,1,14860,12,5
24594,4,19,24,6,1,42,1,1,14860,2,1
27608,45,17,27,6,2,36,2,1,47900,30,5
27777,23,22,25,6,1,39,2,1,47900,48,3
27811,23,22,73,6,1,39,2,1,47900,119,5
27825,22,13,29,6,1,39,2,1,47900,3,2
27828,38,12,39,6,2,39,2,1,47900,16,2
27853,43,15,33,6,2,36,1,1,47900,2,5
27899,22,22,26,6,1,37,2,1,47900,26,3
27977,17,21,27,6,2,39,2,1,47900,30,5
27980,46,13,31,6,1,39,2,1,47900,12,3
27982,49,2,26,6,2,44,1,1,47900,3,5
28035,-1,-1,38,1,2,44,1,1,47900,44,6
28091,13,1,23,6,1,43,1,1,47900,4,5
28124,44,15,44,6,1,39,2,2,47900,119,5
28129,22,17,19,6,1,40,2,2,47900,4,5
28143,38,12,36,6,2,39,2,1,47900,56,5
28181,41,14,43,6,1,39,2,1,47900,52,5
28214,23,22,52,6,1,37,2,1,47900,0,5
28224,46,13,36,6,2,39,2,1,47900,17,5
28259,40,8,27,6,2,44,1,1,47900,8,1
28295,38,16,26,6,2,39,2,1,47900,22,5
28300,44,13,46,4,1,39,2,1,47900,119,5
28348,51,2,51,6,2,40,2,1,47900,52,2
28432,38,17,30,6,2,40,1,1,47900,24,3
28442,46,13,50,6,1,31,1,1,47900,108,5
28444,46,13,26,6,2,43,1,1,47900,4,5
28446,46,13,26,6,2,43,1,1,47900,4,5
28447,46,13,26,6,2,43,1,1,47900,4,5
28455,22,17,18,6,1,40,2,1,47900,2,4
28456,14,16,19,6,2,40,2,1,47900,48,5
28471,40,8,28,1,2,44,4,1,47900,7,1
28539,34,17,66,3,2,40,2,1,47900,104,5
28542,4,19,24,5,1,37,2,1,47900,52,5
28613,32,2,62,6,1,44,2,1,47900,119,2
28663,4,19,52,6,2,39,2,1,47900,4,5
28775,43,15,52,6,2,32,1,1,47900,8,2
28805,46,13,43,6,1,33,1,1,47900,9,4
28814,46,13,20,6,2,39,2,1,47900,2,4
28825,-1,-1,41,1,2,39,1,1,47900,2,6
28839,40,8,25,6,1,44,1,1,47900,30,5
28871,42,11,38,6,2,39,2,1,47900,26,2
28890,46,2,37,6,1,40,2,1,47900,35,3
28897,40,1,32,2,1,40,2,1,47900,108,2
28922,46,16,22,6,2,39,2,2,47900,2,1
28995,10,3,62,3,1,46,2,1,47900,22,3
29050,-1,-1,17,6,1,37,1,2,47900,119,6
29089,46,13,19,6,1,40,2,1,47900,3,5
29091,40,1,42,1,2,43,2,1,47900,16,5
29186,38,14,31,6,1,39,2,1,47900,26,2
29230,32,2,30,6,2,43,2,1,47900,17,2
