PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
14311,32,2,28,6,1,40,4,31080,1,17,2,1,4,6,10,-1,-1
14349,25,16,58,1,1,40,2,31080,1,17,2,1,7,10,-1,-1,-1
14383,23,22,30,6,1,40,1,31080,1,82,2,1,-1,-1,-1,-1,-1
14428,38,12,52,6,1,41,1,31080,1,119,5,1,4,6,-1,-1,-1
14509,40,17,36,6,1,40,1,31080,1,8,2,10,-1,-1,-1,-1,-1
14516,40,8,25,6,2,43,1,31080,1,104,3,6,1,4,-1,-1,-1
14673,-1,-1,62,4,2,39,1,41740,1,16,6,4,8,6,-1,-1,-1
14756,26,9,18,6,1,39,1,31080,2,2,5,6,-1,-1,-1,-1,-1
14773,42,6,52,1,1,44,1,31080,1,22,2,7,2,4,-1,-1,-1
14849,40,8,29,1,2,43,4,41940,1,8,5,11,6,-1,-1,-1,-1
14906,33,16,39,6,1,43,4,31080,1,6,2,1,8,6,-1,-1,-1
15037,42,15,47,1,2,43,1,41860,1,56,2,1,6,-1,-1,-1,-1
15154,-1,-1,19,6,1,39,4,31080,2,8,6,1,6,11,-1,-1,-1
15166,4,1,52,4,1,43,1,31080,1,12,3,1,6,4,-1,-1,-1
15184,42,11,25,4,2,43,1,31080,1,3,2,1,6,-1,-1,-1,-1
15211,10,1,25,6,1,39,1,41740,1,8,2,10,-1,-1,-1,-1,-1
15253,38,13,61,1,2,41,5,41940,1,78,3,6,1,-1,-1,-1,-1
15340,-1,-1,21,1,2,40,1,31080,1,7,6,1,4,6,-1,-1,-1
15415,38,20,27,6,1,40,1,31080,1,104,3,5,-1,-1,-1,-1,-1
15423,43,8,45,1,2,43,2,41860,1,20,2,6,-1,-1,-1,-1,-1
15425,46,16,18,6,1,39,2,41860,2,8,5,5,1,-1,-1,-1,-1
15466,38,17,43,1,2,42,1,31080,1,61,3,10,1,6,-1,-1,-1
15493,40,15,23,6,2,40,1,41940,2,8,5,6,8,-1,-1,-1,-1
15570,24,5,52,4,2,43,2,31080,1,2,2,6,9,12,-1,-1,-1
